"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12"
9,"California",1,93700,92900,92000,91600,91300,91200,91000,91000,91000,91200,91500,91900,92200,92500,92500,92700,93200,94200,95000,96000,97100,98000,98700,99500,100200,100600,101400,102600,103300,103800,104600,105300,105800,106100,106900,108000,109200,110300,111400,112500,113600,114900,116400,117900,119200,120900,122700,124200,125700,127800,130100,132400,134600,136300,137900,140000,142300,144600,146900,148900,150800,152700,154500,156300,157900,159500,161000,162500,164500,166900,169300,171500,174000,176600,179000,181200,183500,186100,189200,192600,195700,198300,201000,203700,206300,208600,210700,213400,217200,221400,225500,229400,233400,237900,243100,248400,253800,260100,266600,271900,276300,280900,285200,289100,292700,296500,299900,303900,308200,312800,317500,322500,327300,331000,333900,336700,338900,340000,341000,342600,343800,343600,342900,342400,342100,341500,340500,339100,336800,334600,333400,332500,331000,329200,327700,325900,323700,321200,318900,316400,312100,306700,301200,296100,290800,286000,281200,275900,270300,264800,259900,255600,251200,246400,242300,238600,234800,231100,227900,225300,222900,220300,217700,215000,216400,220400,221500,218800,217300,216200,214500,212400,210700,208900,207200,206200,205100,203200,201000,198900,196600,193900,191000,188600,186900,185800,184800,183800,182600,181600,181000,181000,181500,182700,184400,185900,187300,189400,191800,194300,196700,199200,203000,209000,215700,222000,228200,234700,240700,246200,250800,254500,257000,258800,261000,263500,265100,266800,269200,272000,274300,276300,278200,280000,280800,281800,283800,286400,288900,291300,293700,295700,297800,300000,302700,305200,307300,309600,312800,316000,318000,319600,321200,323000,325100,327600,330400,333600,336400
43,"New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140500,142000,143900,146400,146100,145000,146700,149700,150400,150400,149800,149300,150000,151900,154000,156000,155500,154300,155200,157700,159100,160400,161600,162900,164400,165400,165400,165400,165500,166300,167500,169300,170900,172000,172800,173000,172800,172800,173400,174600,174300,172600,171600,171900,171500,170500,168800,166900,166400,166900,166400,165500,164200,162700,161600,161600,162100,161300,159800,159000,158600,157600,157200,156600,156400,156800,156600,155400,154700,154300,153900,153700,153600,153000,152500,152100,151900,151700,151500,151100,150900,151100,151300,151300,151000,150500,149600,149100,148400,147800,147200,145900,144300,143700,143600,143200,142900,142500,141800,141200,140900,140600,140200,139700,139000,138700,139100,139700,140000,140200,140300,140200,139900,139500,140200,141600,142300,142600,143000,142400,141000,140200,140500,140700,140500,140100,139700,139700,139800,139900,139900,140100,140500,140800,140700,140800,141000,141200,141400,141700,142300,143100,143400,143700,144000,144700,145700,147000,148100
14,"Florida",3,45400,45100,44700,44400,44000,43900,43900,43900,43900,43900,44000,44100,44200,44200,44300,44500,44500,44600,44800,45100,45300,45500,45500,45600,45800,46000,46100,46100,46300,46400,46300,46400,46700,46800,47100,47400,47700,48000,48200,48400,48600,48800,49100,49300,49500,49800,50200,50500,50800,51200,51800,52300,52500,52700,53100,53600,54100,54500,54900,55300,56200,56800,57300,57800,58300,58700,59100,59800,60700,61500,62100,62900,63600,64200,65000,65900,66700,67700,68600,69400,70200,71300,72500,73600,74300,74900,75900,77100,78300,79400,80400,81500,82500,83600,84800,86000,87400,89500,91600,93600,96000,99000,102100,104800,107500,110500,113800,117400,121000,124500,128100,132000,136000,139600,143000,146300,148700,150500,152000,153700,155100,156200,156600,157000,157000,156800,156500,156300,155400,154300,153500,152900,151900,150700,149400,147900,146300,144800,143500,142000,139500,136200,132900,129600,126000,122700,119700,116700,113300,109300,105000,100300,96300,93700,91600,88900,86100,83500,80900,78300,76200,74300,72500,70800,70800,71400,70900,69300,68100,67100,65900,64700,63300,62200,61200,60800,60100,58800,57700,57400,57200,56800,56300,56000,56100,56200,56200,56100,55900,55900,56200,56400,56900,57600,58400,59000,59700,60500,61500,62500,63500,64200,64900,65700,66700,67700,68700,69900,70800,71500,72700,74000,74700,75300,76100,77000,77800,78600,79500,80200,80700,81300,82100,82700,83000,83100,83600,84800,85900,86800,87600,88600,89600,90600,91500,92600,93500,93900,94600,95900,97200,98200,99500,101000,102300,103300,104600,105700,106500
21,"Illinois",4,83800,83300,82900,82400,82200,82400,82600,82700,83100,83700,83900,84000,83700,83300,83200,83500,83700,83900,84100,84300,84500,84600,85000,85400,85800,86300,86700,87300,88100,88700,89300,89700,90000,90500,91100,91500,92100,93100,93900,94600,95400,95800,96500,97900,99200,99900,100900,102200,103800,105400,107000,108300,109100,109500,110200,111200,112500,113800,114900,115900,117000,118100,119500,121200,123300,125100,126600,127900,129100,130200,131100,132000,132800,133600,134100,134500,135100,136400,137500,138400,139300,140400,141700,143500,145100,146400,147400,148100,148400,149100,149700,150000,150000,150100,150600,151200,151700,152000,152500,153100,153900,154600,155300,156100,156900,158000,159200,160100,160700,161200,162200,163400,164200,164800,165800,166300,166700,167400,168000,168100,168200,168600,169200,169600,169600,169200,168900,168700,168800,169100,169300,169500,169600,169500,169000,168600,168500,168600,168300,168200,168200,167800,167100,166500,165700,164400,163200,162100,161300,160300,159100,157900,155000,150400,146300,143800,141500,139300,137700,136700,136000,135200,134300,133300,133500,134800,135000,133600,132500,131700,130100,127600,125200,124100,123200,122100,120700,119600,118900,117700,116000,114400,113200,111700,109700,107400,105000,102800,101300,100000,98800,97900,97600,97000,96000,95200,94300,92900,91900,91700,91500,91300,91300,91700,92400,93200,94100,95100,96500,97700,98400,99000,99900,100700,101400,102000,102400,102900,104000,105100,105900,106800,107600,108200,108200,108000,107800,108100,108800,109100,108900,109000,109700,110900,111800,112400,112600,112600,113000,114100,115300,116000,117400,119000,119600,119700,120500,121400,122400
47,"Pennsylvania",5,61600,60900,60300,59800,59600,59200,59000,58700,58500,58500,58800,59000,59100,59200,59200,59100,59000,59100,59400,59600,59800,60100,60200,60300,60700,60900,60800,60900,61100,61200,61100,61300,61600,61700,61800,61800,61700,61600,61800,62100,62500,63000,63300,63600,63900,64200,64400,64700,65000,65300,65700,66000,66100,66100,66400,66600,66600,66800,67300,67900,68200,68500,68800,69200,69600,70100,70600,71000,71400,71800,72000,72200,72300,72800,73300,73800,74200,74600,75100,75700,76400,77000,77600,78300,79100,79900,80500,80900,81300,82000,82700,83300,83900,84300,84800,85700,86800,87700,88500,89300,90300,91100,91800,92400,93200,94100,95000,95900,97100,98100,99000,100200,101600,102800,103900,105000,105800,106400,107000,107400,107800,108400,109200,110000,110600,110700,111100,111800,112300,112600,112800,113100,113300,113400,113600,113900,114000,114100,114100,113900,113700,113400,113200,113200,113400,113500,113500,113200,113100,113100,113100,113000,113000,113000,113100,113000,112600,112100,111700,111300,111000,110800,110600,110300,110900,112100,113000,113000,112900,112700,112400,111700,110800,110200,109800,109500,109000,108400,107800,107200,106600,105900,105400,105100,104800,104300,103800,103400,103100,102400,101400,100900,100700,100700,100500,100600,100700,100800,101100,101500,101400,101400,101700,101800,102000,102400,102300,102300,102500,102800,102700,102200,101900,101900,102000,102300,102800,103300,103800,104000,104000,104000,104100,104100,103900,103900,104100,104500,104700,104700,105100,105800,106300,106300,106500,107000,107300,107300,107600,107700,107800,108000,108300,108700,109200,110000,110800,111700,112400
44,"Ohio",6,52100,52000,51900,51900,51800,51600,51400,51400,51500,51500,51500,51600,51600,51600,51700,51900,52000,52200,52400,52700,52900,53200,53400,53600,53700,54000,54200,54400,54500,54600,55100,55400,55700,55900,56200,56400,56700,57100,57500,57800,57900,57900,57900,57900,57900,58100,58500,58900,59000,59100,59500,59800,60000,60300,60400,60500,61000,61400,61500,61500,61400,61600,61900,61900,62000,62300,62500,62400,62400,62600,62800,63100,63400,63500,63600,64000,64400,64500,64600,64900,65200,65500,65800,65900,66200,66500,66600,66600,66700,67000,67400,67900,68000,68000,68000,68100,68300,68500,68400,68500,68700,69000,69300,69500,69500,69600,69700,70100,70500,70500,70600,70800,70800,70800,71000,71300,71300,71200,71200,71200,71100,71100,71100,71300,71300,71200,70900,70600,70500,70500,70500,70500,70700,70800,70600,70300,70100,69800,69500,69500,69400,68900,68500,68300,68000,67700,67600,67400,67300,67200,67000,66500,66300,66200,66100,65800,65600,65300,65200,65100,64900,65000,65200,65100,65300,65800,66000,65700,65400,65100,64900,64700,64500,64000,63300,63000,62700,62400,62200,62100,62000,62100,62200,62300,62100,61700,61300,61100,61100,60800,60500,60300,60200,60100,60000,59900,59800,59800,59900,59900,59700,59700,59800,60000,60000,60000,59800,59600,59600,59900,60100,60000,60000,60100,60100,60200,60500,60700,60900,61300,61600,61900,62300,62600,62800,63000,63300,63200,63200,63600,64000,64400,64600,64800,65200,65400,65500,65600,65800,65900,66200,66400,66400,66500,67000,67600,68100,68700,69400
30,"Michigan",7,66600,65700,65200,65100,65400,65700,65700,65700,65700,65500,65200,65300,65800,66300,66800,67300,67600,67800,68300,68600,68900,69400,70300,71200,71700,72000,72200,72500,72700,73300,74000,74600,74900,75300,75700,75900,76500,77200,77700,78100,78300,78600,79400,80100,80400,80800,81600,82400,83100,83900,84500,84900,85300,85600,85800,86100,86700,87300,87600,88000,88600,89400,90300,91100,91700,92200,92400,92700,93100,93300,93600,93800,94100,94500,95000,95700,96500,97200,97800,98300,98900,99700,100000,100200,100400,100500,100500,100700,100800,100800,101000,101700,102300,102600,103100,103600,103700,103600,103600,103900,104500,104800,104800,104900,105000,105000,105200,105300,105800,106500,106700,106700,106600,106700,106900,107000,106800,106500,106200,106000,105900,105500,104900,104500,104100,103700,103300,102900,102300,101600,101100,100600,99800,99100,98600,98100,97400,96700,96000,95300,94200,93000,92000,91400,90200,88900,87500,86100,84900,83800,82400,81000,79600,78000,76500,75100,73800,72600,71800,71200,70100,69000,68300,67200,67500,68600,68800,67700,67000,66500,66000,65200,64500,64100,63600,63100,62500,61800,61300,61000,61000,61100,60600,59800,59100,58900,58800,58900,58700,58600,58700,59000,59400,59600,59700,60100,61000,61900,62600,63200,63400,63400,63900,64500,65100,66200,67400,68500,69600,70400,70600,71000,71500,72200,72700,73300,73800,74400,75100,75800,76100,76200,76300,76800,77300,77600,77800,78200,78400,78500,79300,80300,80900,81400,81900,82500,82900,83000,83500,84400,85000,85300,85700,86600,87600,88500,89300,90100,90800
16,"Georgia",8,74900,75500,75300,74900,74800,74600,74000,73400,73500,73800,74400,75300,76300,77500,78600,79300,79800,80000,80100,80300,80800,81400,81900,82300,83200,83900,84800,85900,87000,88500,89800,90700,91600,93000,94400,95500,96100,97100,99000,101000,102800,104700,106300,108000,109800,111200,112200,113100,114000,114700,115500,116900,118400,119400,120600,122100,123400,124700,126000,126800,126900,126800,126800,126600,126100,126300,126900,127400,127400,127300,127200,127700,128400,129000,129300,129400,129700,130300,130700,130700,130400,130300,130700,131200,131800,132500,132800,132700,132500,132000,131500,131600,132000,132200,132400,132900,133300,133600,133900,134700,135300,135400,135600,135900,136200,136800,137400,137700,137700,137300,137200,137600,138300,139000,139400,139500,139700,140100,140400,140400,140400,140700,140800,140600,140700,141300,142000,142600,143000,143000,143100,143200,143100,143000,143100,142800,142500,142300,142600,142700,142200,141200,140100,139200,138500,137900,137200,136100,134600,133100,131800,130600,129700,128900,128000,126700,124700,122500,120900,119800,118900,117800,116800,115900,114900,113800,112900,112100,111500,110900,109600,108300,107100,105400,103300,101400,99800,98600,97300,95900,94200,92700,91400,90200,88800,87800,86500,84800,83500,82900,82000,81000,80600,80400,80300,80300,80000,79600,79700,80200,81100,81700,82500,84000,85900,87900,89600,91000,92800,94700,96400,97600,98300,98300,98700,99400,100500,101500,102800,103900,105100,106200,107300,108500,109600,110600,111700,112700,113200,113900,114900,116200,117700,119000,120400,121800,122900,123300,124200,125600,126900,127500,128000,128500,129100,129800,130800,132200,133300
36,"North Carolina",9,57400,57900,58200,58400,58600,58700,58900,58800,58500,58700,59200,59900,60400,60900,61400,61700,62200,62700,63100,63500,64500,65400,66200,66600,66600,66800,67100,67600,67800,68100,68500,68800,69000,69200,69500,69700,69800,69700,69800,70300,70500,70600,70800,71100,71200,71400,71400,71500,71900,72400,72700,72900,73400,73900,74300,74700,75200,75600,76100,76300,76200,76300,76400,76500,76700,77100,77600,78000,78000,78000,78200,78700,79300,79600,79700,80000,80300,80300,80300,80200,80200,80500,80900,81200,81700,82500,83100,83000,83000,83000,83100,83500,84300,84900,85200,85300,85600,85800,85900,86300,87000,87400,87600,87800,88000,88600,89400,90000,90400,90500,91000,91700,92300,93400,94900,96300,97500,98300,98700,99600,100600,102000,103200,104000,104900,105600,106300,107200,107900,108400,108800,109000,108800,109400,110600,111700,112200,112800,113600,113700,113200,112900,113100,113700,114300,114500,114500,114400,114600,114400,113800,112900,113500,114800,115100,114100,113300,112400,111200,110400,110000,109700,109300,109000,107600,105500,104500,104400,103800,102900,102000,101200,100400,99700,99100,98600,98400,98600,98300,97400,96500,96200,96400,96600,95700,94600,93900,93500,92800,92300,91900,91900,92500,92800,92200,91700,91900,92200,92300,92500,92900,93000,93300,93600,93500,93500,93600,93700,93800,93800,93700,93700,93900,94100,94600,94900,95100,95300,95400,95300,95000,95100,95400,95500,95800,96400,96400,96700,97600,98300,98600,99100,99900,100300,100600,100700,100800,100700,100900,101400,101900,102600,103300,103900,104900,106300,107400,108400,109100
40,"New Jersey",10,89700,87200,85500,84100,83000,82400,82000,81600,81400,81700,82500,83200,83700,83700,83700,84000,84400,84300,83900,84100,84600,84700,85100,85800,86300,86500,87000,87500,87600,87800,88600,89100,89300,89700,89800,89900,90600,91700,92400,93200,94100,95100,95700,96200,96700,97100,97900,99100,100600,102000,103600,104500,105100,105800,106900,108300,109800,111000,111500,112300,113600,115000,115900,116700,118000,120100,121800,123200,124500,125800,126800,128200,130000,131700,133600,136100,138600,140300,141400,142600,144400,146400,148500,150500,152500,153900,155800,158200,160400,161800,163800,166600,169200,171600,173600,175400,177300,179300,181500,183800,186200,189000,192500,196100,198600,201000,204300,207600,210300,213600,216900,220000,223300,226500,229200,231900,234600,237000,239200,241500,243800,245600,246800,247100,247300,247200,246700,245600,244900,244900,244800,244500,244700,245000,244400,242700,241200,240200,239200,238100,237400,237200,236600,235500,234200,232700,231400,230500,229300,227800,226200,224200,223300,223200,222300,220200,218500,216500,214700,213400,212400,211400,210000,209300,207100,203200,200100,198500,196600,195100,194100,193700,193100,192000,190500,189200,187500,185900,184800,183800,182700,181500,179900,178000,176600,175500,174700,174200,173300,172500,172100,171500,170800,170500,170300,169600,168700,167900,167500,167100,167200,167700,168800,169900,170600,171100,171800,172600,172900,173700,174700,175400,175800,176100,175500,175000,175200,175300,174900,174900,175200,175300,175100,175000,175300,175900,176100,176200,176100,176200,176500,176600,176300,176300,176200,175500,175700,176700,177500,178000,179000,179800,180500,181400,182800,184300,186100,188100,189800
